stockid,year,ram_bmsy,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country,source
BIGEYEEPAC,2015,0.838063,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador,RAM
BIGEYEEPAC,2016,1.01931,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador,RAM
BIGEYEEPAC,2017,1.08737,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador,RAM
BIGEYEEPAC,2018,1.01502,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador,RAM
BIGEYEEPAC,2023,1.05,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador,https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Bigeye%20tuna%20-%20Eastern%20Pacific&stockid=11685
BLSHARNPAC,2001,1.37,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2002,1.42,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2003,1.46,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2004,1.5,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2005,1.53,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2006,1.55,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2007,1.56,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2008,1.56,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2009,1.58,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2010,1.6,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2011,1.62,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2012,1.63,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2013,1.65,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2014,1.68,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2015,1.69,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
BLSHARNPAC,2020,1.17,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Blue%20shark%20-%20North%20Pacific&stockid=11686
CMACKPCOAST,2015,1.180846154,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from RAM Tbest values and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2016,0.875461538,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from RAM Tbest values and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2017,1.587423077,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from RAM Tbest values and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2018,0.997461538,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from RAM Tbest values and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2019,2.734576923,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from RAM Tbest values and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2020,2.6855,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from table 5 in 2025 memorandum and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2021,1.933923077,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from table 5 in 2025 memorandum and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2022,1.765307692,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from table 5 in 2025 memorandum and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2023,1.963846154,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from table 5 in 2025 memorandum and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
CMACKPCOAST,2024,2.613615385,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA,"https://apps-st.fisheries.noaa.gov/stocksmart?stockname=Pacific%20chub%20mackerel%20-%20Pacific%20Coast&stockid=10163; got the B0 values from table 5 in 2025 memorandum and Bmsy values from the 2023 memorandum (26,000 = BMSY)"
SFMAKONPAC,2001,1.311346,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2002,1.315922,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2003,1.320972,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2004,1.325548,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2005,1.329493,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2006,1.333123,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2007,1.337068,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2008,1.333,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2009,1.347,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2010,1.37,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2011,1.345,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2012,1.378,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2013,1.351,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2014,1.35,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2015,1.38,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2016,1.36,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
SFMAKONPAC,2022,1.18,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan,RAM
STMARLINNEPAC,2001,1.06,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2002,0.964,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2003,0.777,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2004,0.832,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2005,0.961,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2006,1.06,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2007,1.25,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2008,1.27,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINNEPAC,2009,1.52,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2001,0.33,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2002,0.4,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2003,0.49,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2004,0.64,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2005,0.74,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
STMARLINWCNPAC,2006,0.73,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan,RAM
