locs,standardized_name,state,region,lat,lon,GofC
Bahia Mazatl·n,Bahía de Mazatlán,Sinaloa,NA,23.2,-106.42,Gulf of California
Alijos Rocks,Rocas Alijos,Baja California Sur,NA,24.95,-115.77,Pacific
Mazatlan,Mazatlán,Sinaloa,NA,23.22,-106.42,Gulf of California
BahÌa Altata Ensenada de Pabellones,Bahía/Ensenada de Pabellones (Altata),Sinaloa,NA,24.55,-107.9,Gulf of California
Estero El Coyote y Estero la Bocana,Estero El Coyote & Estero La Bocana,Sinaloa,Pabellones complex,24.53,-107.75,Gulf of California
Bay Altata Norte,Bahía de Altata (sector norte),Sinaloa,NA,24.7,-107.98,Gulf of California
BahÌa Altata Norte,Bahía de Altata (sector norte),Sinaloa,NA,24.7,-107.98,Gulf of California
Isla Coronado,Isla Coronado (a.k.a. “Coronados”),Baja California Sur ,Loreto,26.11,-111.28,Gulf of California
Isla San JerÛnimo,Isla San Jerónimo,Baja California,near San Quintín,30.42,-116.31,Pacific
BahÌa de Los ¡ngeles,Bahía de los Ángeles,Baja California,regional,28.93,-113.56,Gulf of California
Alto Golfo de California,Alto Golfo de California,Baja California & Sonora,Upper Gulf region,31,-114.8,Gulf of California
Estero el Coyote,Estero El Coyote,Sinaloa,Complejo Pabellones–Altata,24.53,-107.75,Gulf of California
Bahia de Ohuira,Bahía de Ohuira,Sinaloa,near Topolobampo,25.53,-109.03,Gulf of California
Bahia de La Paz,Bahía de La Paz,Baja California Sur,NA,24.2,-110.3,Gulf of California
Altata Norte,Bahía de Altata,Sinaloa,sector norte,24.7,-107.98,Gulf of California
Puerto Vallarta,Puerto Vallarta,Jalisco,NA,20.65,-105.23,Pacific
La Reforma,La Reforma,Sinaloa,Angostura,25.3,-108.5,Gulf of California
Navolato,Navolato,Sinaloa,municipal seat; near Altata system,24.66,-107.98,Gulf of California
MulegÈ,Mulegé,Baja California Sur,NA,26.89,-111.98,Gulf of California
Mexicali,Mexicali,Baja California,NA,32.65,-115.47,Gulf side (inland)
BahÌa de Mazatl·n,Bahía de Mazatlán,Sinaloa,NA,23.2,-106.42,Gulf of California
BahÌa de Altata,Bahía de Altata,Sinaloa,Ensenada de Pabellones,24.55,-107.95,Gulf of California
"BahÌas San Luis, Gonzaga, Guadalupe, Los ƒngeles, de las ¡nimas, San Rafael",Central Baja California,Baja California,Several regions,28.9,-113.6,Gulf of California
"San Felipe Puertecitos, Puerto de San Felipe y Alto Golfo de California","San Felipe, Puertecitos",Baja California,Several regions,30.7,-114.7,Gulf of California
BahÌa la Manzanilla,La Manzanilla,Jalisco,Bahía de Tenacatita,19.28,-104.78,Pacific
La Cruz de Huanacaxtle,La Cruz de Huanacaxtle,Nayarit,Bahía de Banderas,20.75,-105.37,Gulf of California
Guerrero Negro,Guerrero Negro,Baja California Sur,Laguna Ojo de Liebre area,27.97,-114.03,Pacific
BahÌa del Colorado,Bahía del Colorado,Sonora/BC (regional),Colorado River delta,31.55,-114.73,Gulf of California
Punta Abreojos,Punta Abreojos,Baja California Sur,NA,26.71,-113.57,Pacific
Bahia de la Paz,Bahía de La Paz,Baja California Sur,NA,24.2,-110.3,Gulf of California
Pichilingue,Pichilingue,Baja California Sur,Puerto de Pichilingue,24.3,-110.32,Gulf of California
Tijuana,Tijuana,Baja California,NA,32.53,-117.02,Pacific
BahÌa Salina,Bahía Salinas,Baja California Sur,Isla Carmen,25.98,-111.16,Gulf of California
RincÛn de las Ballenas,Rincón de las Ballenas,Baja California Sur,cala en archipiélago Espíritu Santo,24.52,-110.37,Gulf of California
Nuevo Vallarta,Nuevo Vallarta,Nayarit,Bahía de Banderas,20.7,-105.3,Gulf of California
Mazatlan Bay and Urias Estuary,Bahía de Mazatlán & Estero de Urías,Sinaloa,NA,23.2,-106.42,Gulf of California
Barra de Navidad,Barra de Navidad,Jalisco/Colima,NA,19.2,-104.68,Pacific
BahÌa de Banderas,Bahía de Banderas,Nayarit/Jalisco,NA,20.65,-105.25,Gulf of California
Puerto PeÒasco,Puerto Peñasco,Sonora,NA,31.31,-113.53,Gulf of California
BahÌa de Ballenas,Bahía de Ballenas,Baja California Sur,ambiguous; commonly used for the Pacific gray-whale area near Punta Eugenia / Abreojos,27.2,-114.3,Pacific
Punta Prieta,Punta Prieta,Baja California,"town on Hwy 1; inland, east-side of peninsula",28.73,-113.56,Gulf side (inland)
BahÌa de Tortugas,Bahía de Tortugas,Baja California Sur,Turtle Bay,27.69,-114.89,Pacific
BahÌa de Todos Santos,Bahía de Todos Santos,Baja California,Ensenada,31.85,-116.65,Pacific
La Ensenada de la Paz Shore,Bahía de La Paz,Baja California Sur,shoreline area,24.2,-110.3,Gulf of California
BAHIA DE TODOS SANTOS,Bahía de Todos Santos,Baja California,Ensenada,31.85,-116.65,Pacific
Caleta Balandra,Caleta/Playa Balandra,Baja California Sur,NA,24.33,-110.32,Gulf of California
Cabo San Lucas,Cabo San Lucas,Baja California Sur,NA,22.89,-109.91,Gulf of California
Isabel Island,Isla Isabel,Nayarit,NA,21.85,-105.89,Gulf of California
Playa Coromuel,Playa El Coromuel,Baja California Sur,La Paz,24.17,-110.32,Gulf of California
