"year","OHI_region","BD_score","biome_types"
2019,"region_1",76.3719788682993,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_2",74.0213305842438,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_3",77.5119113289924,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_4",74.9247644574545,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_5",63.6737581603929,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_6",76.1579575385855,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_7",74.7771428499452,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_8",64.7469294896802,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2019,"region_9",68.0403751250913,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2020,"region_1",77.5083711371533,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2020,"region_2",74.5380074261785,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
2020,"region_3",75.5833476202023,"mangrove_forest, coastal_wetland, seagrasses, coral_reefs, soft_bottom_benthos, rhodolith_beds, rocky_reefs, open_ocean"
