"year","OHI_region","BD_score","biome_types"
2019,"region_1",82.7147801044742,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_2",80.9323895236477,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_3",77.2298364873669,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_4",74.9276411874307,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_5",71.8806194313046,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_6",86.4989107497438,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_7",74.3615167824782,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_8",69.398442144745,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2019,"region_9",65.9049449416694,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_1",81.321383980188,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_2",84.813431557882,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_3",72.7590558281781,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_4",74.4114285683222,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_5",71.9921873956359,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_6",86.1569446245641,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_7",74.721276293467,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_8",65.3203850480048,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_9",67.0006053810957,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_1",78.158852178937,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_2",86.1319319008029,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_3",79.2160534554724,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_4",72.3561903085912,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_5",67.9783764457987,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_6",85.8501812425765,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_7",72.3344707194282,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_8",67.5819231217347,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_9",65.9323949712834,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_1",74.5602489316132,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_2",84.0084638236337,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_3",75.0319664578836,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_4",72.1907093053157,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_5",64.3153693624267,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_6",86.2521609474157,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_7",71.7670267516049,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_8",66.015641480722,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_9",65.5589122623825,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_1",72.7342943088455,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_2",83.9000261637047,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_3",75.4042693667656,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_4",70.2172937887633,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_5",62.1599118785095,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_6",85.6499411782799,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_7",72.0055103748773,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_8",61.3721670077792,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_9",64.3277548749982,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_1",69.9001484970705,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_2",83.6275148125785,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_3",70.2308767864926,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_4",70.5248507263536,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_5",63.8802782121048,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_6",84.8442716505628,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_7",70.1303779713661,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_8",61.4742454500943,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_9",64.7849132462089,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
