"year","OHI_region","FOFM_score","AQRM_score","SHEL_score","RESD_score","FINS_score2","SALT_score","NP_Score","NP_Score_n_components"
2023,"region_6",NA,75.0421425914774,7.22612968494075,2.12870092195164,NA,100,46.0992432995924,4
2024,"region_6",NA,61.2864693910178,75.7512660845845,1.41445248793727,98.9980721455055,100,67.490052021809,5
2018,"region_7",68.3067175383562,74.8072612586534,6.68906859729967,6.50387116498602,NA,96.278561050222,50.5170959219035,5
2019,"region_7",63.548992058925,89.3640441189994,3.25394019443036,4.7665630696174,NA,97.3318751069731,51.6530829097891,5
2020,"region_7",67.8374559440293,83.8224804422455,1.92150761472596,4.79642148744196,NA,97.6630911678904,51.2081913312666,5
2021,"region_7",79.8747383509823,88.5115035501033,1.66334791533724,10.7106821244071,91.8152958507971,97.2731259145581,61.6414489510309,6
2022,"region_7",61.9125272344225,86.8907668526949,8.69672430423481,6.13819697448653,NA,100,52.7276430731677,5
2023,"region_7",59.2873677677323,71.0185585757045,5.61437242077825,7.09412065031196,95.1564289495024,97.7191606481342,55.9816681686939,6
2024,"region_7",55.585990579778,59.1906952029025,2.94239629753102,8.9370277877641,91.8152958507971,99.6384748096224,53.0183134213992,6
2018,"region_8",100,100,100,1.5914351214081,93.448530068943,18.8222058246844,68.9770285025059,6
2019,"region_8",100,80.3089349575851,100,1.1642186513887,93.448530068943,NA,74.9843367355834,5
2020,"region_8",99.9369204743267,100,100,1.61808257313277,81.1340294031745,19.4381058451218,67.0211897159593,6
2021,"region_8",89.860797292774,75.7313379318154,100,1.10724671461995,81.332941691264,13.5146373918829,60.2578268370594,6
2022,"region_8",92.3260427044646,43.6526793549544,100,1.2052360351454,92.2514408725403,30.6135698313645,60.0081614664115,6
2023,"region_8",85.7261327721932,0,100,1.83776961867359,80.6793987064795,39.3017348385576,51.2575059893173,6
2024,"region_8",97.8661961908519,0,86.7645306402121,1.9111845723606,67.471076385221,35.7323990123824,48.2908978001713,6
2018,"region_9",33.6200495049505,43.9030264108534,NA,7.28834907856373,69.2916418265907,NA,38.5257667052396,4
2019,"region_9",100,0,NA,4.05726378646453,73.2821550233218,NA,44.3348547024466,4
2020,"region_9",100,38.7332423536967,NA,9.42754059792276,90.5430837778651,NA,59.6759666823711,4
2021,"region_9",100,70.9641165609697,NA,19.8878360471305,90.5430837778651,NA,70.3487590964913,4
2022,"region_9",100,30.9865938829574,NA,5.03214018222372,90.5430837778651,NA,56.6404544607616,4
2023,"region_9",NA,40.0577988279682,NA,2.71412922835857,100,NA,47.5906426854423,3
2024,"region_9",100,22.9910893473549,NA,2.21748838570006,90.5430837778651,NA,53.93791537773,4
